State;Name;Institution Type;Phone Number;Website;
NY;Boricua College New York;HSI;(212) 694-1000;http://www.boricuacollege.edu;
NY;St. John's University, New York;AANAPISI;(212) 962-4111;www.stjohns.edu;
NY;New York Institute of Technology;AANAPISI;(516) 686-1000;www.nyit.edu;
NY;Long Island University-Brentwood ;HSI;(631) 273-5112;www.liu.edu/brentwood;
NY;CUNY Bernard M. Baruch College;AANAPISI, HSI;(646) 312-1000;www.baruch.cuny.edu;
NY;Polytechnic Institute of New York University;AANAPISI;(718) 260-3600;www.poly.edu;
NY;CUNY New York City College of Technology ;AANAPISI, HSI;(718) 260-5500;www.citytech.cuny.edu;
NY;Bramson ORT College;AANAPISI;(718) 261-5800;www.bramsonort.edu;
NY;CUNY York College;HSI;(718) 262-2000;www.york.cuny.edu;
NY;CUNY Bronx Community College;AANAPISI;(718) 289-5100;www.bcc.cuny.edu;
NY;CUNY Kingsborough Community College;AANAPISI;(718) 368-5000;www.kbcc.cuny.edu;
NY;College of Mount Saint Vincent ;AANAPISI;(718) 405-3267;www.mountsaintvincent.edu;
NY;Vaughn College of Aeronautics and Technology;AANAPISI, HSI;(718) 429-6600;www.vaughn.edu;
NY;CUNY LaGuardia Community College;AANAPISI, HSI;(718) 482-7200;www.laguardia.cuny.edu;
NY;Long Island University, Brooklyn Campus;AANAPISI;(718) 488-1011;www.liu.edu/brooklyn;
NY;CUNY Hostos Community College Bronx;AANAPISI;(718) 518-4444;www.hostos.cuny.edu;
NY;CUNY Queensborough Community College;AANAPISI, HSI;(718) 631-6262;www.qcc.cuny.edu;
NY;Pratt Institute, Main;AANAPISI;(718) 636-3600;www.pratt.edu;
NY;CUNY Brooklyn College;AANAPISI;(718) 951-5000;www.brooklyn.cuny.edu;
NY;CUNY Lehman College Bronx;AANAPISI;(718) 960-8000;www.lehman.cuny.edu;
NY;Mercy College  ;HSI;(877) 637-2946;https://www.mercy.edu;
OH;Wilberforce University;HBCU;(937) 376-2911;www.wilberforc.edu;
OH;Central State University;HSI;(937) 376-6011;www.centralstate.edu;
OK;Langston University;HBCU;(405) 466-3428;www.lunet.edu;
OK;Comanche Nation College;HSI;(580) 591-0203;www.cnc.cc.ok.us;
OK;College of the Muscogee Nation;HSI;(918) 758-1480;www.mvsktc.org;
OR;Mount Angel Seminary;HSI;(508) 845-3030;www.mountangelabbey.org;
PA;Lincoln University of Pennsylvania;HBCU;(484) 365-8000;www.lincoln.edu;
PA;Cheyney University of Pennsylvania;Tribal;(610) 399-2000;www.cheyney.edu;
Puerto Rico;Inter American University of Puerto Rico-Metro ;HSI;(787) 250-1912;www.metro.inter.edu;
Puerto Rico;Colegio Universitario de San Juan ;AANAPISI;(787) 250-2400;http://www.cunisanjuan.edu;
Puerto Rico;Universidad Del Este ;HSI;(787) 257-7373;www.suagm.edu/une;
Puerto Rico;Inter American University of Puerto Rico-San German ;HSI;(787) 264-1912;http://sg.inter.edu ;
Puerto Rico;Inter American University of Puerto Rico-Bayamon Bayamon;HSI;(787) 279-1912;http://bayamon.inter.edu;
Puerto Rico;Inter American University of Puerto Rico-Ponce Mercedita;HSI;(787) 284-1912;www.ponce.inter.edu;
Puerto Rico;Universidad Metropolitana-Bayamon;HSI;(787) 288-1100;http://www.suagm.eduumet/;
Puerto Rico;American University of Puerto Rico-Bayamon;HSI;(787) 620-2040;www.aupr.edu;
Puerto Rico;American University of Puerto Ric- Manati;HSI;(787) 621-2835;http://www.aupr.eduforms/SPDesktop.aspx;
Puerto Rico;Colegio Pentecostal Mizpa Rio Piedras;HSI;(787) 720-4476;http://mizpa.eduportal/index.php?option=com_frontpage&Itemid=;
Puerto Rico;School of Plastic Arts of Puerto Rico;HSI;(787) 729-0007;www.eap.edu;
Puerto Rico;Puerto Rico Conservatory of Music;HSI;(787) 751-0160;www.cmpr.edu;
Puerto Rico;Instituto Tecnologico de Puerto Rico-Recinto de San Juan Rio ;HSI;(787) 764-2559;http://itec.pr/ITPR-Joomla/;
Puerto Rico;EDP College of Puerto Rico Inc-Hato Rey;HSI;(787) 765-3560;http://www.edpuniversity.edu;
Puerto Rico;Centro de Estudios Multidisciplinarios-San Juan;AANAPISI;(787) 765-4210, (787) 765-4233;http://www.cempr.eduunidades_academias_sanjuan.html;
Puerto Rico;Centro de Estudios Multidisciplinarios-Bayamon;HSI;(787) 780-8900;http://www.cempr.eduunidades_academias_bayamon.html;
Puerto Rico;Bayamon Central University ;HSI;(787) 786-3030;www.ucb.edu.pr;
Puerto Rico;Universidad Central Del Caribe ;HSI;(787) 798-3001;www.uccaribe.edu;
Puerto Rico;Universidad Metropolitana-Jayuya;HSI;(787) 828-1319;http://www.suagm.eduumet/;
Puerto Rico;Pontifical Catholic University of Puerto Rico-Mayaguez ;HSI;(787) 834-5151;http://mayaguez.pucpr.edu;
Puerto Rico;Universidad Adventista de las Antillas ;HSI;(787) 834-9595;www.uaa.edu;
Puerto Rico;Pontifical Catholic University of Puerto Rico;HSI;(787) 841-2000;http://www.pucpr.edu;
Puerto Rico;Technology Instutitute of Puerto Rico-Ponce ;HSI;(787) 843-1305;http://itec.pr/ITPR-Joomla/;
Puerto Rico;Humacao Community College ;HSI;(787) 852-1430;www.hccpr.edu;
Puerto Rico;Centro de Estudios Multidisciplinarios-Humacao;HSI;(787) 852-5505, (787) 850-8333;http://www.cempr.eduunidades_academias_humacao.html;
Puerto Rico;Technology Instutitute of Puerto Rico-Manati;HSI;(787) 854-2250;http://itec.pr/ITPR-Joomla/;
Puerto Rico;Inter American University of Puerto Rico-Barranquitas ;HSI;(787) 857-3600;http://www.br.uipr.eduinter/;
Puerto Rico;Inter American University of Puerto Rico-Fajardo Fajardo;HSI;(787) 863-2390;http://fajardo.inter.edu;
Puerto Rico;Technology Instutitute of Puerto Rico-Guayama ;HSI;(787) 864-0354;http://itec.pr/ITPR-Joomla/;
Puerto Rico;Inter American University of Puerto Rico-Guayama;HSI;(787) 864-2222;http://guayama.inter.edu;
Puerto Rico;Inter American University of Puerto Rico-Arecibo Arecibo;HSI;(787) 878-5475;www.arecibo.inter.edu;
Puerto Rico;Pontifical Catholic University of Puerto Rico-Arecibo;HSI;(787) 881-1212;http://arecibo.pucpr.edu;
Puerto Rico;Universal Technology College of Puerto Rico ;HSI;(787) 882-2065;www.unitecpr.edu ;
Puerto Rico;Universidad Metropolitana-Aguadilla;HSI;(787) 882-7070;http://www.suagm.eduumet/;
Puerto Rico;Atenas College ;HSI;(787) 884-3838;www.atenascollege.edu;
Puerto Rico;Inter American University of Puerto Rico-Aguadilla Aguadilla;HSI;(787) 891-0925;http://aguadilla.inter.edu;
Puerto Rico;EDP College of Puerto Rico Inc-San Sebastian ;HBCU;(787) 896-2252;http://www.edpuniversity.edu;
Puerto Rico;John Dewey College-University Division ;HSI;(866) 773-3939;http://jdc.edu;
Puerto Rico;Atlantic University College ;HSI;(787) 720-1022;www.atlanticu.edu;
Puerto Rico;Caribbean University-Carolina ;HSI;(787) 769-0007;http://www.caribbean.eduOicina_de_Registro/Recinto_de_Carolina.html;
Puerto Rico;Caribbean University-Bayamon ;HSI;(787) 780-0070;http://www.caribbean.edu;
Puerto Rico;Caribbean University-Ponce ;HSI;(787) 840-2955;http://www.caribbean.eduOficina_de_Registro/Recinto_de_Ponce.html;
Puerto Rico;Caribbean University-Vega  ;HSI;(787) 858-3668;http://www.caribbean.eduOficina_de_Registro/Recinto%20de%20Vega%20Baja.html;
Puerto Rico;Universidad Del Turabo Gurabo;HSI;N/A;www.suagm.edu/UT;
Puerto Rico;Universidad Metropolitana;HSI;N/A;http://www.suagm.eduumet/;
SC;Allen University;HBCU;(803) 254-4165;www.allenuniversity.edu;
SC;Benedict College;HBCU;(803) 256-4220;www.benedict.edu;
SC;Clinton Junior College;HSI;(803) 327-7402;www.clintonjuniorcollege.edu;
SC;Claflin University;HSI;(803) 535-5000;www.claflin.edu;
SC;South Carolina State University;HBCU;(803) 536-7000;www.scsu.edu;
SC;Voorhees College;HBCU;(803) 780-1234;www.voorhees.du;
SC;Denmark Technical College;HBCU;(803) 793-5100;www.denmarktech.edu;
SC;Morris College;HBCU;(803) 934-3200;www.morris.edu;
SD;Oglala Lakota College;Tribal;(605) 455-6022;www.olc.edu;
SD;Sisseton Wahpeton College;Tribal;(605) 698-3966;www.swc.tc/;
SD;Sinte Gleska University;Tribal;(605) 856-5880;www.sintegleska.edu;
TN;Meharry Medical College;HBCU;(615) 327-6111;www.mmc.edu;
TN;Fisk University;HBCU;(615) 329-8500;www.fisk.edu;
TN;Tennessee State University;HBCU;(615) 963-5111;www.tnstate.edu;
TN;Lane College;HBCU;(731) 426-7500;www.lanecollege.edu;
TN;Le Moyne-Owen College;HBCU;(901) 435-1000;www.loc.edu;
TX;Our Lady of the Lake University;HSI;(210) 434-6711;www.ollusa.edu;
TX;St Mary's University  ;HSI;(210) 436-3011;http://www.stmarytx.edu;
TX;The University of Texas at San Antonio;HSI;(210) 458-4011;https://www.utsa.edu;
TX;San Antonio College;HSI;(210) 486-0000;www.alamo.edusac/;
TX;St. Philip's College;HBCU, HSI;(210) 486-2000;www.alamo.eduspc/;
TX;Palo Alto College ;HSI;(210) 486-3000;www.alamo.edupac/;
TX;Northwest Vista College;HSI;(210) 486-4000;www.alamo.edunvc/;
TX;The University of Texas Health Science Center at San Antonio;HSI;(210) 567-7000;www.uthscsa.edu;
TX;University of the Incarnate Word ;HSI;(210) 829-6000;www.uiw.edu;
TX;Paul Quinn College;HBCU;(214) 379-5577;www.pqc.edu;
TX;El Centro College ;HSI;(214) 860-2000;www.elcentrocollege.edu;
TX;Mountain View College ;HSI;(214) 860-8680;www.mountainviewcollege.edu;
TX;University of Houston-Clear Lake ;HSI;(281) 283-7600;www.uhcl.edu;
TX;Lee College Baytown;HSI;(281) 427-5611;www.lee.edu;
TX;Houston Baptist University ;AANAPISI;(281) 649-3314;www.hbu.edu;
TX;San Jacinto Community College ;HSI;(281) 998-6150;www.sanjac.edu;
TX;Howard College;HBCU;(325) 481-8350;www.howardcollege.edu;
TX;Western Texas College ;HSI;(325) 573-8511;www.wtc.edu;
TX;Angelo State University;HSI;(325) 942-2555;http://www.angelo.edu;
TX;Coastal Bend College ;HSI;(361) 358-2838;www.coastalbend.edu;
TX;University of Houston-Victoria ;HSI;(361) 570-4848;www.uhv.edu;
TX;Victoria College ;HSI;(361) 573-3291;www.victoriacollege.edu;
TX;Texas A & M University-Kingsville;HSI;(361) 593-2111;www.tamuk.edu;
TX;Del Mar College ;HBCU;(361) 698-1293;www.delmar.edu;
TX;Texas A & M University-Corpus Christi;HSI;(361) 825-5700;http://www.tamucc.edu;
TX;Galveston College ;HSI;(409) 944-4242;www.gc.edu;
TX;Odessa College ;HSI;(432) 335-6400;www.odessa.edu;
TX;The University of Texas of the Permian Basin ;HSI;(432) 552-2020;www.utpb.edu;
TX;Midland College ;HSI;(432) 685-4500;www.midland.edu;
TX;Sul Ross State University ;HSI;(432) 837-8011;www.sulross.edu;
TX;Saint Edward's University ;HSI;(512) 448-8500;www.stedwards.edu;
TX;Huston-Tillotson University;AANAPISI;(512) 505-3000;www.htu.edu;
TX;Texas State University-San Marcos ;HSI;(512) 558-5555;www.txstate.edu;
TX;Northwood University ;HSI;(561) 478-5500;www.northwood.edu;
TX;University of Houston-Downtown ;HSI;(713) 221-8000;www.uhd.edu;
TX;Texas Southern University;HBCU;(713) 313-7011;www.tsu.edu;
TX;Houston Community College;AANAPISI, HSI;(713) 718-2000;www.hccs.edu;
TX;University of Houston;AANAPISI, HSI;(713) 748-0923;www.uh.edu;
TX;College of Biblical Studies-Houston;AANAPISI;(713) 785-5995;www.cbshouston.edu;
TX;Baptist University of the Americas;HSI;(800) 721-1396;www.bua.edu;
TX;Texas State Technical College Harlingen ;HSI;(800) 852-8784;www.tstc.eduharlingen/;
TX;Amarillo College ;HSI;(806) 371-5000;www.actx.edu;
TX;Clarendon College ;HBCU;(806) 874-3571;www.clarendoncollege.edu;
TX;South Plains College ;HSI;(806) 894-9611;www.southplainscollege.edu;
TX;The University of Texas at Arlington;AANAPISI;(817) 272-2011;www.uta.edu;
TX;Southwest Texas Junior College ;HSI;(830) 278-4401;www.swtjc.net/;
TX;Lone Star College System;HSI;(832) 813-6500;www.lonestar.edu;
TX;The University of Texas-Pan American Edinburg;HSI;(866) 441-8872;www.utpa.edu;
TX;Texas College;HBCU;(903) 593-8311 x2200;www.texascollege.edu;
TX;Jarvis Christian College;HBCU;(903) 769-5700;www.jarvis.edu;
TX;Wiley College;HBCU;(903) 927-3300;www.wileyc.edu;
TX;The University of Texas at El Paso;HSI;(915) 747-5000;www.utep.edu;
TX;El Paso Community College;HSI;(915) 831-3722;www.epcc.edu;
TX;Prairie View A & M University;HBCU;(936) 261-3311;www.pvamu.edu;
TX;Texas A & M International University ;HSI;(956) 326-2001;www.tamiu.edu;
TX;Laredo Community College ;HSI;(956) 722-0521;www.laredo.edu;
TX;South Texas College ;HSI;(956) 872-8311;www.southtexascollege.edu;
TX;The University of Texas at Brownsville ;HSI;(956) 882-8200;http://www.utb.edu;
TX;Richland College;AANAPISI;(972) 238-6100;www.richlandcollege.edu;
TX;North Lake College;AANAPISI, HSI;(972) 273-3000;www.northlakecollege.edu;
TX;Southwestern Christian College;HBCU;(972) 524-3341 x107;www.swcc.edu;
TX;Brookhaven College;AANAPISI, HSI;(972) 860-4700;www.brookhavencollege.edu;
TX;Eastfield College ;AANAPISI;(972) 860-7167;www.eastfieldcollege.edu;
TX;Brazosport College Lake ;HSI;(979) 230-3000;www.brazosport.edu;
TX;Wharton County Junior College;HSI;(979) 532-4560;www.wcjc.edu;
VA;Virginia University of Lynchburg;HBCU;(434) 528-5276 x126;www.vul.edu;
VA;Saint Pauls College;HBCU;(434) 848-3111;www.saintpauls.edu;
VA;Northern Virginia Commnity College;AANAPISI;(703) 323-3000;https://www.nvcc.edu;
VA;Hampton University;AANAPISI;(757) 727-5000;www.hamptonu.edu;
VA;Norfolk State University;HBCU;(757) 823-8600;www.nsu.edu;
VA;Virginia Union University;HBCU;(804) 257-5600;www.vuu.edu;
VA;Virginia State University;HBCU;(804) 524-5000;www.vsu.edu;
Virgin Islands;University of the Virgin Islands;HBCU;(340) 776-9200;www.uvi.edu;
Virgin Islands;University of the Virgin Islands-Kingshill;HBCU;(340) 778-1620 x0000;www.uvi.edu;
WA;Shoreline Community College;AANAPISI;(206) 546-4101;www.shoreline.edu;
WA;Highline Community College;HBCU;(206) 878-3710;www.highline.edu;
WA;North Seattle Community College;AANAPISI;(206) 934-3600;https://northseattle.edu/;
WA;South Seattle Community College-North;AANAPISI;(206) 934-3600;https://northseattle.edu;
WA;Seattle Central Community College;AANAPISI;(206) 934-3800;www.seattlecentral.org;
WA;South Seattle Community College-Central;AANAPISI;(206) 934-3800;http://www.seattlecentral.edu;
WA;South Seattle Community College-South;AANAPISI;(206) 934-5300;http://www.southseattle.edu;
WA;Saint Martin's University;AANAPISI;(360) 491-4700;www.stmartin.edu;
WA;Northwest Indian College;Tribal;(360) 676-2772;www.nwic.edu;
WA;Renton Technical College;AANAPISI;(425) 235-2352;www.rtc.edu;
WA;Bellevue College;AANAPISI;(425) 564-1000;www.bellevuecollege.edu;
WA;Edmonds Community College;HSI;(425) 640-1459;www.edcc.edu;
WA;Yakima Valley Community College;HSI;(509) 574-4600;www.yvcc.edu;
WA;Big Bend Community College;HSI;(509) 793-2222;www.bigbend.edu;
WA;Heritage University;AANAPISI;(888) 272-6190;www.heritage.edu;
WI;Lac Courte Oreilles Ojibwa Community College;Tribal;(715) 634-4790;www.lco.edu;
WI;College of Menominee Nation ;AANAPISI;(715) 799-5600;www.menominee.edu;
WV;Bluefield State College;HBCU;(304) 327-4000;www.bluefieldstate.edu;
WV;West Virginia State University;HBCU;(304) 766-3000;www.wvstateu.edu;
WY;Wind River Tribal College;Tribal;(307) 335-8243;www.wrtribalcollege.com;
